date,open,high,low,close,volume,average,barCount
2025-12-31 04:00:00-05:00,272.41,272.41,272.41,272.41,200.0,272.41,2
2025-12-31 04:05:00-05:00,272.19,272.19,272.19,272.19,100.0,272.19,1
2025-12-31 04:10:00-05:00,272.19,272.19,272.19,272.19,0.0,272.19,0
2025-12-31 04:15:00-05:00,272.19,272.19,272.19,272.19,0.0,272.19,0
2025-12-31 04:20:00-05:00,272.19,272.19,272.19,272.19,0.0,272.19,0
2025-12-31 04:25:00-05:00,272.18,272.25,272.18,272.25,364.0,272.231,3
2025-12-31 04:30:00-05:00,272.25,272.25,272.25,272.25,0.0,272.25,0
2025-12-31 04:35:00-05:00,272.25,272.25,272.25,272.25,0.0,272.25,0
2025-12-31 04:40:00-05:00,272.24,272.24,272.24,272.24,100.0,272.24,1
2025-12-31 04:45:00-05:00,272.24,272.24,272.24,272.24,0.0,272.24,0
2025-12-31 04:50:00-05:00,272.24,272.24,272.24,272.24,0.0,272.24,0
2025-12-31 04:55:00-05:00,272.24,272.24,272.24,272.24,0.0,272.24,0
2025-12-31 05:00:00-05:00,272.15,272.16,272.15,272.16,300.0,272.157,2
2025-12-31 05:05:00-05:00,272.13,272.13,272.13,272.13,103.0,272.13,1
2025-12-31 05:10:00-05:00,272.13,272.13,272.13,272.13,0.0,272.13,0
2025-12-31 05:15:00-05:00,272.13,272.13,272.13,272.13,0.0,272.13,0
2025-12-31 05:20:00-05:00,272.13,272.13,272.13,272.13,0.0,272.13,0
2025-12-31 05:25:00-05:00,272.13,272.13,272.13,272.13,0.0,272.13,0
2025-12-31 05:30:00-05:00,272.13,272.13,272.13,272.13,0.0,272.13,0
2025-12-31 05:35:00-05:00,272.13,272.13,272.13,272.13,0.0,272.13,0
2025-12-31 05:40:00-05:00,272.13,272.13,272.13,272.13,0.0,272.13,0
2025-12-31 05:45:00-05:00,272.26,272.26,272.26,272.26,100.0,272.26,1
2025-12-31 05:50:00-05:00,272.26,272.26,272.26,272.26,0.0,272.26,0
2025-12-31 05:55:00-05:00,272.26,272.26,272.26,272.26,0.0,272.26,0
2025-12-31 06:00:00-05:00,272.26,272.26,272.26,272.26,0.0,272.26,0
2025-12-31 06:05:00-05:00,272.26,272.26,272.26,272.26,0.0,272.26,0
2025-12-31 06:10:00-05:00,272.26,272.26,272.26,272.26,0.0,272.26,0
2025-12-31 06:15:00-05:00,272.26,272.26,272.26,272.26,0.0,272.26,0
2025-12-31 06:20:00-05:00,272.26,272.26,272.26,272.26,0.0,272.26,0
2025-12-31 06:25:00-05:00,272.12,272.12,272.12,272.12,100.0,272.12,1
2025-12-31 06:30:00-05:00,272.12,272.12,272.12,272.12,0.0,272.12,0
2025-12-31 06:35:00-05:00,272.12,272.12,272.12,272.12,0.0,272.12,0
2025-12-31 06:40:00-05:00,272.12,272.12,272.12,272.12,0.0,272.12,0
2025-12-31 06:45:00-05:00,272.12,272.12,272.12,272.12,0.0,272.12,0
2025-12-31 06:50:00-05:00,272.12,272.12,272.12,272.12,0.0,272.12,0
2025-12-31 06:55:00-05:00,272.12,272.12,272.12,272.12,0.0,272.12,0
2025-12-31 07:00:00-05:00,272.24,272.5,272.24,272.5,1298.0,272.375,10
2025-12-31 07:05:00-05:00,272.56,272.56,272.55,272.55,800.0,272.553,4
2025-12-31 07:10:00-05:00,272.44,272.44,272.35,272.35,779.0,272.381,5
2025-12-31 07:15:00-05:00,272.37,272.37,272.37,272.37,100.0,272.37,1
2025-12-31 07:20:00-05:00,272.5,272.5,272.5,272.5,283.0,272.5,2
2025-12-31 07:25:00-05:00,272.54,272.54,272.52,272.52,333.0,272.528,3
2025-12-31 07:30:00-05:00,272.5,272.57,272.5,272.57,600.0,272.517,6
2025-12-31 07:35:00-05:00,272.54,272.54,272.5,272.5,1239.0,272.504,9
2025-12-31 07:40:00-05:00,272.53,272.53,272.51,272.51,566.0,272.521,4
2025-12-31 07:45:00-05:00,272.51,272.51,272.51,272.51,0.0,272.51,0
2025-12-31 07:50:00-05:00,272.53,272.53,272.53,272.53,300.0,272.53,1
2025-12-31 07:55:00-05:00,272.53,272.53,272.53,272.53,0.0,272.53,0
2025-12-31 08:00:00-05:00,272.4,272.69,272.04,272.53,14527.0,272.405,64
2025-12-31 08:05:00-05:00,272.68,272.68,272.68,272.68,232.0,272.68,2
2025-12-31 08:10:00-05:00,272.56,272.56,272.56,272.56,100.0,272.56,1
2025-12-31 08:15:00-05:00,272.56,272.56,272.55,272.56,305.0,272.557,1
2025-12-31 08:20:00-05:00,272.62,272.67,272.62,272.67,1100.0,272.664,2
2025-12-31 08:25:00-05:00,272.65,272.65,272.55,272.6,1287.0,272.61,6
2025-12-31 08:30:00-05:00,272.6,272.6,272.53,272.58,1774.0,272.552,7
2025-12-31 08:35:00-05:00,272.54,272.71,272.54,272.71,2987.0,272.614,15
2025-12-31 08:40:00-05:00,272.77,272.93,272.77,272.93,5953.0,272.827,25
2025-12-31 08:45:00-05:00,272.9,272.93,272.85,272.86,5266.0,272.878,12
2025-12-31 08:50:00-05:00,272.79,273.08,272.79,272.96,3640.0,272.905,15
2025-12-31 08:55:00-05:00,272.99,273.0,272.82,272.82,1931.0,272.937,17
2025-12-31 09:00:00-05:00,272.8,272.99,272.8,272.97,2739.0,272.901,15
2025-12-31 09:05:00-05:00,272.88,272.92,272.81,272.92,1340.0,272.873,9
2025-12-31 09:10:00-05:00,272.8,272.84,272.77,272.84,448.0,272.8,3
2025-12-31 09:15:00-05:00,272.81,272.9,272.61,272.74,6112.0,272.793,25
2025-12-31 09:20:00-05:00,272.88,272.88,272.6,272.6,2943.0,272.728,19
